,sym,date,time,price,size,cond,cancelled,exchTime,exchDate,exch
211,0005.HK,2019-09-04,09:30:48.307,56.55,400,,0,09:30:48.000,2019-09-04,HKG
212,0005.HK,2019-09-04,09:30:48.307,56.55,800,,0,09:30:48.000,2019-09-04,HKG
213,0005.HK,2019-09-04,09:30:50.141,56.6,1200,,0,09:30:50.000,2019-09-04,HKG
214,0005.HK,2019-09-04,09:30:50.593,56.6,1200,,0,09:30:50.000,2019-09-04,HKG
215,0005.HK,2019-09-04,09:30:52.979,56.55,2000,Y,0,09:30:52.000,2019-09-04,HKG
216,0005.HK,2019-09-04,09:30:53.508,56.6,1200,,0,09:30:53.000,2019-09-04,HKG
217,0005.HK,2019-09-04,09:30:53.508,56.6,2800,,0,09:30:53.000,2019-09-04,HKG
218,0005.HK,2019-09-04,09:30:53.990,56.6,400,,0,09:30:53.000,2019-09-04,HKG
219,0005.HK,2019-09-04,09:30:55.080,56.6,800,,0,09:30:55.000,2019-09-04,HKG
220,0005.HK,2019-09-04,09:30:55.522,56.6,400,,0,09:30:55.000,2019-09-04,HKG
221,0005.HK,2019-09-04,09:30:55.968,55.0,1,D,0,09:30:55.000,2019-09-04,HKG
222,0005.HK,2019-09-04,09:30:57.675,55.5,1,D,0,09:30:57.000,2019-09-04,HKG
223,0005.HK,2019-09-04,09:30:57.862,56.05,134,D,0,09:30:57.000,2019-09-04,HKG
224,0005.HK,2019-09-04,09:30:59.331,55.6,1,D,0,09:30:59.000,2019-09-04,HKG
225,0005.HK,2019-09-04,09:31:00.639,55.6,1,D,0,09:31:00.000,2019-09-04,HKG
226,0005.HK,2019-09-04,09:31:01.039,56.6,3600,,0,09:31:01.000,2019-09-04,HKG
227,0005.HK,2019-09-04,09:31:02.094,55.8,1,D,0,09:31:02.000,2019-09-04,HKG
228,0005.HK,2019-09-04,09:31:03.052,56.6,1600,,0,09:31:03.000,2019-09-04,HKG
229,0005.HK,2019-09-04,09:31:03.439,55.9,1,D,0,09:31:03.000,2019-09-04,HKG
230,0005.HK,2019-09-04,09:31:04.906,55.9,1,D,0,09:31:04.000,2019-09-04,HKG
231,0005.HK,2019-09-04,09:31:05.082,56.6,400,,0,09:31:05.000,2019-09-04,HKG
232,0005.HK,2019-09-04,09:31:06.101,56.6,6400,,0,09:31:06.000,2019-09-04,HKG
233,0005.HK,2019-09-04,09:31:06.101,56.6,14400,,0,09:31:06.000,2019-09-04,HKG
234,0005.HK,2019-09-04,09:31:06.101,56.6,4400,,0,09:31:06.000,2019-09-04,HKG
235,0005.HK,2019-09-04,09:31:06.109,55.9,1,D,0,09:31:06.000,2019-09-04,HKG
236,0005.HK,2019-09-04,09:31:06.110,56.6,6800,,0,09:31:06.000,2019-09-04,HKG
237,0005.HK,2019-09-04,09:31:06.117,56.6,4400,,0,09:31:06.000,2019-09-04,HKG
238,0005.HK,2019-09-04,09:31:06.163,56.6,2000,,0,09:31:06.000,2019-09-04,HKG
239,0005.HK,2019-09-04,09:31:07.110,56.65,400,,0,09:31:07.000,2019-09-04,HKG
240,0005.HK,2019-09-04,09:31:07.505,55.9,1,D,0,09:31:07.000,2019-09-04,HKG
241,0005.HK,2019-09-04,09:31:09.430,55.95,1,D,0,09:31:09.000,2019-09-04,HKG
242,0005.HK,2019-09-04,09:31:10.140,56.65,4000,,0,09:31:10.000,2019-09-04,HKG
243,0005.HK,2019-09-04,09:31:10.580,56.65,2400,,0,09:31:10.000,2019-09-04,HKG
244,0005.HK,2019-09-04,09:31:10.781,55.95,1,D,0,09:31:10.000,2019-09-04,HKG
245,0005.HK,2019-09-04,09:31:11.197,56.6,400,,0,09:31:11.000,2019-09-04,HKG
246,0005.HK,2019-09-04,09:31:12.020,55.95,1,D,0,09:31:12.000,2019-09-04,HKG
247,0005.HK,2019-09-04,09:31:12.676,56.6,400,,0,09:31:12.000,2019-09-04,HKG
248,0005.HK,2019-09-04,09:31:12.935,56.6,400,,0,09:31:12.000,2019-09-04,HKG
249,0005.HK,2019-09-04,09:31:14.162,56.65,3200,,0,09:31:14.000,2019-09-04,HKG
250,0005.HK,2019-09-04,09:31:14.163,56.65,400,,0,09:31:14.000,2019-09-04,HKG
251,0005.HK,2019-09-04,09:31:14.163,56.65,400,,0,09:31:14.000,2019-09-04,HKG
252,0005.HK,2019-09-04,09:31:14.163,56.65,6000,,0,09:31:14.000,2019-09-04,HKG
253,0005.HK,2019-09-04,09:31:14.163,56.65,4000,,0,09:31:14.000,2019-09-04,HKG
254,0005.HK,2019-09-04,09:31:14.163,56.65,14800,,0,09:31:14.000,2019-09-04,HKG
255,0005.HK,2019-09-04,09:31:14.163,56.65,6800,,0,09:31:14.000,2019-09-04,HKG
256,0005.HK,2019-09-04,09:31:14.173,56.65,400,,0,09:31:14.000,2019-09-04,HKG
257,0005.HK,2019-09-04,09:31:14.173,56.65,3600,,0,09:31:14.000,2019-09-04,HKG
258,0005.HK,2019-09-04,09:31:14.173,56.65,2000,,0,09:31:14.000,2019-09-04,HKG
259,0005.HK,2019-09-04,09:31:14.342,55.95,1,D,0,09:31:14.000,2019-09-04,HKG
260,0005.HK,2019-09-04,09:31:15.082,56.7,400,,0,09:31:15.000,2019-09-04,HKG
261,0005.HK,2019-09-04,09:31:15.082,56.7,1200,,0,09:31:15.000,2019-09-04,HKG
262,0005.HK,2019-09-04,09:31:15.082,56.7,400,,0,09:31:15.000,2019-09-04,HKG
263,0005.HK,2019-09-04,09:31:15.082,56.7,800,,0,09:31:15.000,2019-09-04,HKG
264,0005.HK,2019-09-04,09:31:15.082,56.7,2000,,0,09:31:15.000,2019-09-04,HKG
265,0005.HK,2019-09-04,09:31:15.205,56.75,400,,0,09:31:15.000,2019-09-04,HKG
